Dependency=Federal Poverty Level	Dependency=Geometry Building Type RECS	Dependency=PUMA	Option=No	Option=Not Available	Option=Yes	source_count	source_weight	sampling_probability
0-100%	Mobile Home	AK, 00101	0.967096	0	0.0329041	10	699	2.73791e-06
0-100%	Multi-Family with 2 - 4 Units	AK, 00101	0.898305	0	0.101695	16	767	6.77543e-06
0-100%	Multi-Family with 5+ Units	AK, 00101	0.848093	0	0.151907	25	1547	1.30642e-05
0-100%	Single-Family Attached	AK, 00101	0.934799	0	0.0652015	40	372	2.96722e-06
0-100%	Single-Family Detached	AK, 00101	0.510968	0	0.489032	20	775	5.94796e-06
100-150%	Mobile Home	AK, 00101	0.804281	0	0.195719	42	144	2.10706e-06
100-150%	Multi-Family with 2 - 4 Units	AK, 00101	0.921569	0	0.0784314	14	867	4.14582e-06
100-150%	Multi-Family with 5+ Units	AK, 00101	0.781671	0	0.218329	24	1113	8.85997e-06
100-150%	Single-Family Attached	AK, 00101	0.974482	0	0.0255183	24	148	2.25138e-06
100-150%	Single-Family Detached	AK, 00101	0.650261	0	0.349739	674	399	4.90098e-06
150-200%	Mobile Home	AK, 00101	0.798736	0	0.201264	55	320	1.95083e-06
150-200%	Multi-Family with 2 - 4 Units	AK, 00101	0.839349	0	0.160651	79	314	4.709e-06
150-200%	Multi-Family with 5+ Units	AK, 00101	0.698266	0	0.301734	19	865	5.86903e-06
150-200%	Single-Family Attached	AK, 00101	1	0	0	17	432	3.18125e-06
150-200%	Single-Family Detached	AK, 00101	0.908708	0	0.0912921	20	712	6.27099e-06
200-300%	Mobile Home	AK, 00101	0.783688	0	0.216312	78	405	3.77405e-06
200-300%	Multi-Family with 2 - 4 Units	AK, 00101	0.943396	0	0.0566038	40	2226	1.08098e-05
200-300%	Multi-Family with 5+ Units	AK, 00101	0.858115	0	0.141885	41	1910	1.06536e-05
200-300%	Single-Family Attached	AK, 00101	0.940048	0	0.059952	24	834	7.00577e-06
200-300%	Single-Family Detached	AK, 00101	0.870859	0	0.129141	43	2083	1.6519e-05
300-400%	Mobile Home	AK, 00101	0.829478	0	0.170522	61	470	2.5524e-06
300-400%	Multi-Family with 2 - 4 Units	AK, 00101	0.884588	0	0.115412	28	1421	9.04943e-06
300-400%	Multi-Family with 5+ Units	AK, 00101	0.983594	0	0.0164063	31	1280	7.41318e-06
300-400%	Single-Family Attached	AK, 00101	0.718816	0	0.281184	20	946	6.42255e-06
300-400%	Single-Family Detached	AK, 00101	0.962751	0	0.0372493	50	2094	1.88681e-05
400%+	Mobile Home	AK, 00101	0.813309	0	0.186691	10	541	5.44102e-06
400%+	Multi-Family with 2 - 4 Units	AK, 00101	0.979736	0	0.020264	71	3257	2.82261e-05
400%+	Multi-Family with 5+ Units	AK, 00101	0.903672	0	0.0963283	60	2315	1.91367e-05
400%+	Single-Family Attached	AK, 00101	0.943413	0	0.0565873	85	3446	2.26403e-05
400%+	Single-Family Detached	AK, 00101	0.967783	0	0.0322168	351	14868	9.81517e-05
Not Available	Mobile Home	AK, 00101	0	1	0	218	83	5.97423e-07
Not Available	Multi-Family with 2 - 4 Units	AK, 00101	0	1	0	20	1668	1.2006e-05
Not Available	Multi-Family with 5+ Units	AK, 00101	0	1	0	21	1496	1.0768e-05
Not Available	Single-Family Attached	AK, 00101	0	1	0	82	299	2.15216e-06
Not Available	Single-Family Detached	AK, 00101	0	1	0	21	1380	9.93307e-06
0-100%	Mobile Home	AK, 00102	0.791925	0	0.208075	67	303	3.08294e-06
0-100%	Multi-Family with 2 - 4 Units	AK, 00102	0.822811	0	0.177189	15	982	7.83875e-06
0-100%	Multi-Family with 5+ Units	AK, 00102	0.843931	0	0.156069	14	519	5.9075e-06
0-100%	Single-Family Attached	AK, 00102	0.889205	0	0.110795	13	704	5.24136e-06
0-100%	Single-Family Detached	AK, 00102	0.867247	0	0.132753	22	919	7.98228e-06
100-150%	Mobile Home	AK, 00102	0.804281	0	0.195719	42	120	1.67336e-06
100-150%	Multi-Family with 2 - 4 Units	AK, 00102	0.958391	0	0.0416089	12	721	3.79212e-06
100-150%	Multi-Family with 5+ Units	AK, 00102	0.869681	0	0.130319	11	752	6.00078e-06
100-150%	Single-Family Attached	AK, 00102	0.974482	0	0.0255183	24	219	2.71331e-06
100-150%	Single-Family Detached	AK, 00102	0.942278	0	0.0577223	16	641	6.44227e-06
150-200%	Mobile Home	AK, 00102	0.798736	0	0.201264	55	296	1.76407e-06
150-200%	Multi-Family with 2 - 4 Units	AK, 00102	0.839349	0	0.160651	79	265	3.90917e-06
150-200%	Multi-Family with 5+ Units	AK, 00102	0.762774	0	0.237226	18	822	6.19378e-06
150-200%	Single-Family Attached	AK, 00102	1	0	0	10	336	3.54625e-06
150-200%	Single-Family Detached	AK, 00102	0.929316	0	0.0706837	18	863	8.93603e-06
200-300%	Mobile Home	AK, 00102	0.783688	0	0.216312	78	497	3.86285e-06
200-300%	Multi-Family with 2 - 4 Units	AK, 00102	0.97546	0	0.0245399	25	1141	7.71959e-06
200-300%	Multi-Family with 5+ Units	AK, 00102	0.77409	0	0.22591	19	934	9.47321e-06
200-300%	Single-Family Attached	AK, 00102	0.9334	0	0.0666004	27	1006	8.84e-06
200-300%	Single-Family Detached	AK, 00102	0.898038	0	0.101962	58	2854	2.24749e-05
300-400%	Mobile Home	AK, 00102	0.829478	0	0.170522	61	421	2.31981e-06
300-400%	Multi-Family with 2 - 4 Units	AK, 00102	1	0	0	13	643	6.89616e-06
300-400%	Multi-Family with 5+ Units	AK, 00102	0.955136	0	0.0448642	32	1694	8.59586e-06
300-400%	Single-Family Attached	AK, 00102	0.847759	0	0.152241	33	1629	9.33509e-06
300-400%	Single-Family Detached	AK, 00102	0.862115	0	0.137885	85	3735	2.53936e-05
400%+	Mobile Home	AK, 00102	0.804487	0	0.195513	12	624	3.87851e-06
